model,task,total_parameters,trainable_parameters,frozen_parameters,gmacs,model_size_mb,checkpoint_size_mb,total_train_seconds,mean_epoch_seconds,completed_epochs,selected_epoch,latency_ms,latency_batch_size,images_per_second,throughput_batch_size,train_peak_memory_mb,inference_memory_mb,input_size,batch_size,precision,seed,device,backend,run_id
kmeans,traditional,0,0,0,N/A,0.0016,0.0016,25.973749542143196,25.973749542143196,0,N/A,84.21803110232577,1,11.873941802141987,1,N/A,N/A,256,1,float32,42,Apple M4 Max,mps,56da6270
fcn_resnet50,semantic,35310668,35310668,0,34.652553216,134.908,135.019,3363.9146621662658,134.55658648665064,25,21,9.02288332930766,1,147.48121895988595,8,677.663818359375,261.36376953125,256,8,float32,42,Apple M4 Max,mps,c733818a
unet,semantic,31037958,31037958,0,48.252321792,118.445,118.482,4368.189522251254,174.72758089005015,25,25,9.362231874838471,1,101.25676525529161,8,621.62890625,237.6005859375,256,8,float32,42,Apple M4 Max,mps,fc0832c7
unetpp,semantic,43966022,43966022,0,148.718485504,167.773,167.835,13635.936283871997,545.4374513548798,25,25,31.051911460235715,1,29.841430286501733,8,868.9697265625,336.27392578125,256,8,float32,42,Apple M4 Max,mps,025b551b
segnet,semantic,29472454,29472454,0,42.55121408,112.49,112.538,3531.883440212114,141.27533760848456,25,17,22.330135204829276,1,65.92813964609212,8,596.3740234375,114.24609375,256,8,float32,42,Apple M4 Max,mps,recovered-76770
deeplabv3,semantic,41996364,41996364,0,40.964981248,160.422,160.544,4107.816722416319,164.31266889665275,25,21,11.920336040202528,1,116.49020263929495,8,807.584716796875,312.5078125,256,8,float32,42,Apple M4 Max,mps,0d9008e9
pspnet,semantic,48946252,48946252,0,44.386177024,186.94,187.052,4453.046836744295,178.12187346977183,25,13,12.740236460231245,1,94.75696300924335,8,974.9658203125,374.419677734375,256,8,float32,42,Apple M4 Max,mps,f1265ccb
segformer,semantic,3715686,3715686,0,1.714143232,14.176,14.257,971.3746307946276,38.8549852317851,25,18,2.9319591692183167,1,509.133754070565,8,94.413330078125,29.209228515625,256,8,float32,42,Apple M4 Max,mps,ab46dc48
maskrcnn,instance,43943923,43721523,222400,N/A,168.038,168.141,15987.090678544017,1141.9350484674299,14,8,49.82728604460135,1,18.5759139354118,8,864.51904296875,168.790283203125,256,8,float32,42,Apple M4 Max,mps,recovered-99333
yolo_seg,instance,2843583,0,2843583,N/A,10.909,5.678,2320.6311108330265,92.82524443332106,25,N/A,6.016878322698176,1,166.19913954842374,1,N/A,N/A,256,8,float32,42,Apple M4 Max,mps,46abc4bf
